Chart,,,,,,,,,,,,
DateTime,Modeled Historical,Historical Range,,RCP 2.6 Median,RCP 2.6 Range,,RCP 4.5 Median,RCP 4.5 Range,,RCP 8.5 Median,RCP 8.5 Range,
,,low,high,,low,high,,low,high,,low,high
1950-01-01 00:00:00,45.00,29.00,54.50,,,,,,,,,
1951-01-01 00:00:00,46.50,36.30,58.70,,,,,,,,,
1952-01-01 00:00:00,47.00,29.30,62.20,,,,,,,,,
1953-01-01 00:00:00,46.00,29.30,58.00,,,,,,,,,
1954-01-01 00:00:00,42.00,31.60,57.20,,,,,,,,,
1955-01-01 00:00:00,42.00,25.00,52.50,,,,,,,,,
1956-01-01 00:00:00,42.50,29.30,59.70,,,,,,,,,
1957-01-01 00:00:00,37.50,25.30,60.70,,,,,,,,,
1958-01-01 00:00:00,40.00,30.30,56.40,,,,,,,,,
1959-01-01 00:00:00,41.00,26.60,47.70,,,,,,,,,
1960-01-01 00:00:00,42.00,28.60,59.20,,,,,,,,,
1961-01-01 00:00:00,43.50,29.60,61.10,,,,,,,,,
1962-01-01 00:00:00,42.00,25.90,65.10,,,,,,,,,
1963-01-01 00:00:00,37.00,27.50,53.30,,,,,,,,,
1964-01-01 00:00:00,36.50,23.30,52.00,,,,,,,,,
1965-01-01 00:00:00,37.00,24.60,48.80,,,,,,,,,
1966-01-01 00:00:00,38.00,28.90,56.20,,,,,,,,,
1967-01-01 00:00:00,43.50,28.00,60.00,,,,,,,,,
1968-01-01 00:00:00,42.00,31.00,51.00,,,,,,,,,
1969-01-01 00:00:00,36.00,21.90,49.10,,,,,,,,,
1970-01-01 00:00:00,43.00,32.00,53.70,,,,,,,,,
1971-01-01 00:00:00,42.00,26.60,59.10,,,,,,,,,
1972-01-01 00:00:00,39.50,31.00,48.00,,,,,,,,,
1973-01-01 00:00:00,44.00,29.60,57.70,,,,,,,,,
1974-01-01 00:00:00,42.50,28.90,58.80,,,,,,,,,
1975-01-01 00:00:00,41.00,29.30,54.50,,,,,,,,,
1976-01-01 00:00:00,38.50,24.00,52.40,,,,,,,,,
1977-01-01 00:00:00,43.00,28.60,55.70,,,,,,,,,
1978-01-01 00:00:00,45.50,32.90,55.00,,,,,,,,,
1979-01-01 00:00:00,45.50,33.30,52.80,,,,,,,,,
1980-01-01 00:00:00,49.00,32.60,61.40,,,,,,,,,
1981-01-01 00:00:00,52.50,37.30,71.40,,,,,,,,,
1982-01-01 00:00:00,46.00,31.60,61.70,,,,,,,,,
1983-01-01 00:00:00,38.50,24.90,48.40,,,,,,,,,
1984-01-01 00:00:00,44.50,33.30,58.40,,,,,,,,,
1985-01-01 00:00:00,51.00,37.00,63.70,,,,,,,,,
1986-01-01 00:00:00,47.50,29.60,65.20,,,,,,,,,
1987-01-01 00:00:00,45.00,34.30,56.50,,,,,,,,,
1988-01-01 00:00:00,48.50,34.60,61.90,,,,,,,,,
1989-01-01 00:00:00,54.00,37.30,65.70,,,,,,,,,
1990-01-01 00:00:00,50.00,39.00,62.00,,,,,,,,,
1991-01-01 00:00:00,52.00,35.30,64.00,,,,,,,,,
1992-01-01 00:00:00,42.00,24.30,63.80,,,,,,,,,
1993-01-01 00:00:00,45.00,31.60,61.50,,,,,,,,,
1994-01-01 00:00:00,52.50,38.30,67.40,,,,,,,,,
1995-01-01 00:00:00,48.00,41.30,66.20,,,,,,,,,
1996-01-01 00:00:00,53.50,40.60,65.70,,,,,,,,,
1997-01-01 00:00:00,54.00,41.90,66.00,,,,,,,,,
1998-01-01 00:00:00,54.00,34.60,67.40,,,,,,,,,
1999-01-01 00:00:00,57.50,38.80,68.00,,,,,,,,,
2000-01-01 00:00:00,55.00,43.00,68.80,,,,,,,,,
2001-01-01 00:00:00,51.50,42.60,65.40,,,,,,,,,
2002-01-01 00:00:00,59.50,42.30,73.80,,,,,,,,,
2003-01-01 00:00:00,55.00,46.20,67.10,,,,,,,,,
2004-01-01 00:00:00,53.00,41.00,69.70,,,,,,,,,
2005-01-01 00:00:00,56.50,43.30,69.70,56.50,43.30,69.70,55.50,44.30,69.00,56.50,44.30,69.00
2006-01-01 00:00:00,,,,60.50,41.30,74.50,56.50,40.80,72.40,57.00,46.20,74.40
2007-01-01 00:00:00,,,,52.00,40.20,65.20,62.50,43.60,75.40,58.00,45.30,68.10
2008-01-01 00:00:00,,,,59.00,40.60,71.10,60.00,47.30,68.00,57.50,45.30,70.20
2009-01-01 00:00:00,,,,63.50,46.00,71.10,55.50,44.90,69.40,63.00,46.30,76.70
2010-01-01 00:00:00,,,,59.00,44.90,71.70,60.00,54.00,76.70,60.00,48.20,74.00
2011-01-01 00:00:00,,,,63.50,42.80,79.40,67.00,43.30,83.10,63.00,52.30,71.00
2012-01-01 00:00:00,,,,63.00,43.90,79.10,63.50,57.60,76.40,64.00,49.30,78.40
2013-01-01 00:00:00,,,,65.00,45.30,78.40,58.50,41.90,75.20,61.50,44.30,78.50
2014-01-01 00:00:00,,,,66.00,46.30,79.70,64.00,53.30,83.00,69.50,50.20,85.90
2015-01-01 00:00:00,,,,61.50,46.30,76.70,65.50,45.90,88.10,62.00,46.60,79.10
2016-01-01 00:00:00,,,,67.50,55.30,78.10,62.00,40.90,74.40,66.00,58.60,81.70
2017-01-01 00:00:00,,,,68.00,49.30,80.70,65.50,43.20,79.10,63.50,49.90,82.20
2018-01-01 00:00:00,,,,56.00,47.50,72.40,64.50,43.60,74.70,69.00,50.00,89.70
2019-01-01 00:00:00,,,,63.00,48.60,70.70,66.00,45.70,78.70,68.00,58.30,85.70
2020-01-01 00:00:00,,,,68.50,54.30,75.00,66.00,43.40,85.70,71.00,52.60,88.70
2021-01-01 00:00:00,,,,67.00,53.60,86.40,67.50,53.30,83.20,71.00,52.30,81.80
2022-01-01 00:00:00,,,,70.00,54.00,84.10,66.00,47.30,87.00,71.50,49.30,91.70
2023-01-01 00:00:00,,,,73.00,63.30,83.10,63.50,46.30,82.00,75.00,60.20,90.40
2024-01-01 00:00:00,,,,72.50,54.30,91.20,68.00,55.20,84.40,74.00,55.30,85.00
2025-01-01 00:00:00,,,,70.50,57.30,95.70,73.50,54.50,80.70,68.00,55.80,86.80
2026-01-01 00:00:00,,,,72.50,55.10,87.10,69.00,56.00,86.00,73.50,57.00,85.00
2027-01-01 00:00:00,,,,72.00,57.30,92.80,75.00,47.20,87.80,74.00,52.60,95.80
2028-01-01 00:00:00,,,,73.00,52.80,88.00,74.50,48.90,87.80,77.00,53.90,91.10
2029-01-01 00:00:00,,,,71.00,58.90,85.40,72.50,55.50,91.70,73.00,51.30,88.90
2030-01-01 00:00:00,,,,72.00,59.60,83.70,70.50,48.30,88.00,76.50,59.60,93.00
2031-01-01 00:00:00,,,,73.00,58.50,92.00,74.50,58.30,95.40,78.00,68.90,98.80
2032-01-01 00:00:00,,,,71.50,67.00,84.00,80.00,63.50,93.80,72.00,63.30,90.20
2033-01-01 00:00:00,,,,73.00,59.20,86.10,79.00,53.60,97.70,81.50,56.00,86.70
2034-01-01 00:00:00,,,,79.50,58.60,94.70,74.00,62.30,94.10,78.00,61.00,92.70
2035-01-01 00:00:00,,,,74.50,56.60,90.10,82.50,61.90,91.70,83.00,61.90,96.70
2036-01-01 00:00:00,,,,75.00,61.60,88.80,75.00,59.20,95.50,82.00,59.10,99.70
2037-01-01 00:00:00,,,,72.50,48.60,96.70,72.50,52.50,87.40,80.50,69.00,96.00
2038-01-01 00:00:00,,,,76.00,59.60,93.70,83.00,65.30,105.70,86.00,68.00,101.00
2039-01-01 00:00:00,,,,72.50,53.10,86.80,74.00,57.30,87.70,78.50,63.00,104.10
2040-01-01 00:00:00,,,,73.00,55.20,87.50,79.00,59.80,105.40,90.50,65.30,104.40
2041-01-01 00:00:00,,,,80.50,62.70,88.00,85.00,56.50,93.40,87.50,70.60,103.10
2042-01-01 00:00:00,,,,80.50,57.50,96.10,82.00,64.20,93.70,85.50,74.30,104.20
2043-01-01 00:00:00,,,,77.00,57.70,86.00,83.50,58.50,101.00,84.00,69.50,99.70
2044-01-01 00:00:00,,,,78.50,53.30,102.70,79.50,68.30,98.90,85.00,70.80,105.10
2045-01-01 00:00:00,,,,78.00,58.40,88.00,83.50,63.30,97.40,87.00,70.80,101.00
2046-01-01 00:00:00,,,,78.50,58.60,102.00,82.00,63.30,96.70,90.00,70.20,112.10
2047-01-01 00:00:00,,,,78.50,62.60,103.40,85.00,67.60,93.70,93.50,77.60,107.80
2048-01-01 00:00:00,,,,78.50,58.30,91.00,87.50,68.30,105.70,93.50,77.00,106.70
2049-01-01 00:00:00,,,,78.00,55.50,93.00,82.00,64.80,104.30,90.00,74.00,109.50
2050-01-01 00:00:00,,,,79.50,66.00,94.80,83.50,64.30,95.70,96.50,78.50,107.10
2051-01-01 00:00:00,,,,79.00,54.90,97.70,90.50,68.20,103.70,92.50,81.30,105.70
2052-01-01 00:00:00,,,,73.50,54.50,99.00,84.00,65.40,93.00,93.50,70.70,112.70
2053-01-01 00:00:00,,,,79.50,64.20,92.80,84.00,66.90,100.70,95.00,82.30,111.20
2054-01-01 00:00:00,,,,80.00,61.30,99.80,83.00,67.50,101.50,97.50,73.20,112.70
2055-01-01 00:00:00,,,,82.50,51.40,92.70,88.50,70.30,101.00,91.50,79.50,115.40
2056-01-01 00:00:00,,,,77.00,55.00,94.70,93.00,67.90,103.60,97.00,84.90,108.00
2057-01-01 00:00:00,,,,76.50,59.30,86.70,87.50,70.50,102.70,99.50,79.60,114.80
2058-01-01 00:00:00,,,,81.50,67.00,93.20,85.00,59.70,102.20,104.00,82.90,117.00
2059-01-01 00:00:00,,,,81.00,62.90,97.40,85.50,65.60,103.00,104.50,82.30,115.20
2060-01-01 00:00:00,,,,75.50,56.60,97.40,89.50,71.30,106.40,101.50,78.60,116.00
2061-01-01 00:00:00,,,,78.50,61.60,94.70,92.00,67.10,111.80,101.50,88.30,121.80
2062-01-01 00:00:00,,,,80.00,53.30,102.80,93.50,72.70,111.90,104.00,76.30,118.00
2063-01-01 00:00:00,,,,71.50,59.60,91.00,92.50,66.90,102.70,102.00,88.60,122.50
2064-01-01 00:00:00,,,,77.50,56.30,99.70,90.50,65.60,110.80,108.00,86.20,120.10
2065-01-01 00:00:00,,,,79.00,64.60,94.40,89.00,67.70,107.20,114.00,95.60,126.20
2066-01-01 00:00:00,,,,78.00,57.60,94.60,88.00,65.30,101.70,106.00,87.00,119.00
2067-01-01 00:00:00,,,,76.00,54.80,103.70,91.50,69.00,108.40,113.50,89.60,121.50
2068-01-01 00:00:00,,,,80.00,66.80,99.70,95.00,73.20,104.70,107.00,91.30,129.50
2069-01-01 00:00:00,,,,76.50,56.60,101.80,93.00,75.90,108.40,109.00,85.90,124.40
2070-01-01 00:00:00,,,,73.50,55.30,99.00,91.50,74.20,111.40,109.00,95.90,123.00
2071-01-01 00:00:00,,,,69.50,53.90,90.00,98.00,71.10,113.70,115.50,98.30,129.80
2072-01-01 00:00:00,,,,77.50,61.60,92.00,94.50,75.90,111.20,115.50,95.60,127.40
2073-01-01 00:00:00,,,,80.50,62.90,96.10,91.00,75.50,111.50,115.00,99.20,130.10
2074-01-01 00:00:00,,,,79.50,59.30,93.10,94.00,75.60,105.00,111.00,95.30,129.70
2075-01-01 00:00:00,,,,77.00,49.90,94.50,93.50,67.90,109.10,114.00,99.60,131.40
2076-01-01 00:00:00,,,,80.00,64.20,95.70,90.50,71.90,117.00,118.00,101.20,129.40
2077-01-01 00:00:00,,,,80.50,56.20,95.00,93.50,65.40,117.20,121.00,91.50,132.10
2078-01-01 00:00:00,,,,75.50,57.10,101.50,94.00,77.60,116.20,117.00,100.20,129.70
2079-01-01 00:00:00,,,,76.50,60.80,97.70,90.00,74.60,113.40,116.50,101.50,134.00
2080-01-01 00:00:00,,,,76.50,56.60,92.70,95.00,77.00,114.70,122.00,100.30,135.40
2081-01-01 00:00:00,,,,76.50,66.00,89.70,91.00,74.20,110.00,123.00,103.90,135.00
2082-01-01 00:00:00,,,,74.50,57.20,85.70,97.00,70.60,118.70,123.00,103.90,134.70
2083-01-01 00:00:00,,,,75.50,61.90,96.70,96.00,78.60,112.70,116.00,99.20,136.40
2084-01-01 00:00:00,,,,83.50,57.90,93.70,90.00,76.90,115.80,115.00,101.00,134.20
2085-01-01 00:00:00,,,,77.50,59.20,90.10,94.00,77.10,108.70,125.50,107.30,144.30
2086-01-01 00:00:00,,,,77.00,63.90,90.10,94.00,74.10,109.70,124.00,98.30,142.10
2087-01-01 00:00:00,,,,78.00,55.20,93.10,95.50,76.30,109.70,122.50,99.30,142.70
2088-01-01 00:00:00,,,,76.50,51.30,86.70,93.50,73.20,104.40,124.50,109.00,144.00
2089-01-01 00:00:00,,,,73.50,51.20,91.70,91.50,68.60,116.80,131.00,110.30,139.00
2090-01-01 00:00:00,,,,80.00,54.00,97.40,93.50,67.00,115.90,126.00,108.00,144.60
2091-01-01 00:00:00,,,,73.50,56.30,94.80,95.00,78.80,107.30,131.00,115.20,143.70
2092-01-01 00:00:00,,,,80.00,50.50,90.10,95.50,74.60,115.70,127.00,104.90,146.80
2093-01-01 00:00:00,,,,74.00,62.30,94.50,93.50,81.90,111.10,133.00,118.90,145.40
2094-01-01 00:00:00,,,,77.00,56.30,91.80,97.00,77.00,114.60,125.50,105.30,140.70
2095-01-01 00:00:00,,,,77.00,57.50,94.40,98.50,74.00,117.40,124.00,111.50,144.40
2096-01-01 00:00:00,,,,73.50,53.60,91.40,93.00,73.20,108.70,128.00,100.60,143.70
2097-01-01 00:00:00,,,,80.50,63.30,88.70,96.50,77.80,112.70,131.00,102.70,147.10
2098-01-01 00:00:00,,,,79.00,62.30,98.60,88.50,76.60,113.80,134.00,106.60,149.40
2099-01-01 00:00:00,,,,77.50,55.60,98.20,96.00,75.30,112.90,134.00,118.80,148.10
2100-01-01 00:00:00,,,,74.00,59.30,85.70,94.00,76.80,111.80,133.50,109.70,155.00
