Date,DOY,Year,Location,AMAV,AMGP,BASA,BBPL,BBSA,BLOY,BLTU,DUNL,GRYE,KILL,LBCU,LBDO,LESA,LEYE,MAGO,PAGP,PEEPS,PESA,REKN,RNPH,RUTU,SAND,SBDO,SEPL,SESA,SPSA,STSA,SURF,UNDO,WATA,WESA,WHIM,WISN,YELLOW
1988-04-18,109,1988,Arakan Flats,0,0,0,0,0,0,0,118,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1988-04-18,109,1988,Chesterman Beach,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1988-04-18,109,1988,Doug Banks' Flats,0,0,0,0,0,0,0,22,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,18,0,0,0
1988-04-18,109,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-04-18,109,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1988-04-21,112,1988,Arakan Flats,0,0,0,0,0,0,0,580,34,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250,0,52,0,0,0
1988-04-21,112,1988,Chesterman Beach,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-04-21,112,1988,Doug Banks' Flats,0,0,0,5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0
1988-04-21,112,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-04-21,112,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,227,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,207,0,0,0
1988-04-25,116,1988,Arakan Flats,0,0,0,0,0,0,0,755,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,423,0,1438,0,0,0
1988-04-25,116,1988,Chesterman Beach,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,620,0,0,0
1988-04-25,116,1988,Doug Banks' Flats,0,0,0,3,0,0,0,58,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,192,5,0,0
1988-04-25,116,1988,Ducking Flats,0,1,0,5,0,0,0,22,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,275,0,0,0
1988-04-25,116,1988,Grice Bay,0,0,0,0,0,0,0,205,14,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,800,0,0,0
1988-04-25,116,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,1005,1,0,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,3740,0,0,0
1988-04-28,119,1988,Arakan Flats,0,0,0,2,0,0,0,400,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,3500,0,0,0
1988-04-28,119,1988,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-04-28,119,1988,Doug Banks' Flats,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,5255,4,0,0
1988-04-28,119,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
1988-04-28,119,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0
1988-05-02,123,1988,Arakan Flats,0,0,0,0,0,0,0,1300,2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0
1988-05-02,123,1988,Doug Banks' Flats,0,0,0,1,0,0,0,40,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,2100,32,0,0
1988-05-02,123,1988,Ducking Flats,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,44,0,0
1988-05-02,123,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,395,18,0,0
1988-05-05,126,1988,Arakan Flats,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,0
1988-05-05,126,1988,Chesterman Beach,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0
1988-05-05,126,1988,Doug Banks' Flats,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,1,0,0
1988-05-05,126,1988,Ducking Flats,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
1988-05-05,126,1988,Grice Bay,0,0,0,5,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,750,174,0,0
1988-05-05,126,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,400,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,120,0,1000,8,0,0
1988-05-09,130,1988,Arakan Flats,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,90,0,0,0
1988-05-09,130,1988,Chesterman Beach,0,0,0,2,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,405,0,0,0
1988-05-09,130,1988,Doug Banks' Flats,0,0,0,0,0,0,0,100,0,0,0,0,30,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,103,0,900,182,0,0
1988-05-09,130,1988,Ducking Flats,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,620,8,0,0
1988-05-09,130,1988,South Bay/Maltby Slough,0,0,0,1,0,0,0,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1800,0,0,0
1988-05-12,133,1988,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,0,0
1988-05-12,133,1988,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,45,0,0,0
1988-05-12,133,1988,Doug Banks' Flats,0,0,0,1,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1050,225,0,0
1988-05-12,133,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0
1988-05-19,140,1988,Chesterman Beach,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,63,0,0,0
1988-05-19,140,1988,Doug Banks' Flats,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,26,0,0
1988-05-19,140,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-05-19,140,1988,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,140,117,0,0
1988-05-19,140,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
1988-05-23,144,1988,Doug Banks' Flats,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,4,0,70,51,0,0
1988-05-23,144,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1988-05-23,144,1988,Grice Bay,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1988-05-23,144,1988,South Bay/Maltby Slough,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-05-26,147,1988,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-05-26,147,1988,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
1988-05-26,147,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1988-06-23,175,1988,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
1988-07-13,195,1988,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
1988-07-13,195,1988,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1988-07-13,195,1988,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
1988-07-13,195,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-07-13,195,1988,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
1988-07-13,195,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
1988-07-20,202,1988,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
1988-07-20,202,1988,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
1988-07-20,202,1988,Doug Banks' Flats,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
1988-07-20,202,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-07-20,202,1988,South Bay/Maltby Slough,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,140,0,227,41,0,0
1988-08-12,225,1988,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0
1988-08-12,225,1988,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0
1988-08-12,225,1988,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0
1988-08-12,225,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
1988-08-12,225,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1988-08-29,242,1988,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0
1988-08-29,242,1988,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0
1988-08-29,242,1988,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-08-29,242,1988,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-08-29,242,1988,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0
1988-08-29,242,1988,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1989-08-15,227,1989,Arakan Flats,0,0,0,0,0,0,1,0,0,0,0,0,3600,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,8400,0,0,0
1989-08-15,227,1989,Doug Banks' Flats,0,0,0,2,0,0,0,0,1,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,875,0,0,0
1989-08-15,227,1989,Ducking Flats,0,0,0,4,0,0,0,0,0,0,0,0,140,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,8,0,325,0,0,0
1989-08-15,227,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,755,4,0,0
1989-08-19,231,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,0,0
1989-08-19,231,1989,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,16,0,12,0,0,0,0,0,0,454,0,0,0
1989-08-19,231,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0
1989-08-19,231,1989,Ducking Flats,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1055,4,0,0
1989-08-19,231,1989,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2100,6,0,0
1989-08-19,231,1989,South Bay/Maltby Slough,0,0,0,2,0,0,0,0,4,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3750,0,0,0
1989-08-22,234,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6350,0,0,0
1989-08-22,234,1989,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,2900,0,0,0
1989-08-22,234,1989,Doug Banks' Flats,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,35,0,0,0
1989-08-22,234,1989,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
1989-08-22,234,1989,Grice Bay,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0
1989-08-22,234,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,5,0,0,0,520,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,30,0,28015,1,0,0
1989-08-24,236,1989,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0
1989-08-26,238,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0
1989-08-26,238,1989,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,56,0,11,0,0,0,0,0,0,230,0,0,0
1989-08-26,238,1989,Doug Banks' Flats,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130,0,2570,0,0,0
1989-08-26,238,1989,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
1989-08-26,238,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760,0,0,0
1989-08-29,241,1989,Arakan Flats,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0
1989-08-29,241,1989,Chesterman Beach,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,86,0,18,0,0,0,0,10,0,77,0,0,0
1989-08-29,241,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,1,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,537,0,0,0
1989-08-29,241,1989,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0
1989-08-29,241,1989,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-08-29,241,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-09-02,245,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,0
1989-09-02,245,1989,Chesterman Beach,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,26,0,0,0,0,0,0,1345,0,0,0
1989-09-02,245,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0
1989-09-02,245,1989,Ducking Flats,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0
1989-09-02,245,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,805,0,0,0
1989-09-06,249,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10500,0,0,0
1989-09-06,249,1989,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,1450,0,0,0
1989-09-06,249,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,85,0,0,0
1989-09-06,249,1989,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
1989-09-06,249,1989,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1989-09-06,249,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1300,0,0,0
1989-09-09,252,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12000,0,0,0
1989-09-09,252,1989,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-09-09,252,1989,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0
1989-09-09,252,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,310,0,0,0
1989-09-12,255,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0
1989-09-12,255,1989,Chesterman Beach,0,2,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,0
1989-09-12,255,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-09-16,259,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1989-09-16,259,1989,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,0,0,0
1989-09-16,259,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1989-09-16,259,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0
1989-09-19,262,1989,Arakan Flats,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
1989-09-19,262,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
1989-09-22,265,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1989-09-22,265,1989,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0
1989-09-22,265,1989,Grice Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1989-09-25,268,1989,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1989-09-25,268,1989,Doug Banks' Flats,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1989-09-25,268,1989,Ducking Flats,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-09-25,268,1989,South Bay/Maltby Slough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0
1989-09-29,272,1989,Arakan Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1989-09-29,272,1989,Chesterman Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1989-09-29,272,1989,Doug Banks' Flats,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-10-06,279,1989,Arakan Flats,0,0,1,0,0,0,42,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0
1989-10-06,279,1989,Doug Banks' Flats,0,0,0,18,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1989-10-06,279,1989,Ducking Flats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1995-04-22,112,1995,Doug Banks' Flats,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1995-04-22,112,1995,"Grice Bay - Road, Islet",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1
1995-04-24,114,1995,Doug Banks' Flats,0,0,0,1,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,267,0,0,0
1995-04-24,114,1995,Grice Bay - Boat Launch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1995-04-24,114,1995,"Grice Bay - Road, Islet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
